County/City,Ward,Pct,"Mark R. Warner","James Jim S. Gilmore, III","Glenda Gail Parker","William B. Redpath","All Others","Total Votes Cast"
,,,Democratic,Republican,Independent,Libertarian
"Buchanan County",-,"602 - Garden (CD 9)",392,160,2,1,1,556
"Buchanan County",-,"603 - Hurricane (CD 9)",267,77,2,0,0,346
"Buchanan County",-,"701 - Whitewood (CD 9)",463,214,2,2,2,683
"Buchanan County",-,"702 - Contrary (CD 9)",292,139,6,3,0,440
"Buchanan County",-,"Ab - Central Absentee Precinct (CD 9)",434,214,2,2,0,652
"Buchanan County",-,"Provisional Votes (CD 9)",2,1,0,0,0,3
"Buckingham County",-,"101 - New Canton (CD 5)",663,296,5,3,0,967
"Buckingham County",-,"201 - White Hall (CD 5)",381,149,2,3,1,536
"Buckingham County",-,"301 - Curdsville (CD 5)",372,231,6,5,0,614
"Buckingham County",-,"302 - New Store (CD 5)",216,193,2,0,0,411
